MOM DOWN POSE0000,0,0,410,613,-0.009756098,1
MOM DOWN POSE0001,0,0,410,613,-0.009756098,1
MOM DOWN POSE0002,420,0,403,597,0,1.026801
MOM DOWN POSE0003,420,0,403,597,0,1.026801
MOM DOWN POSE0004,833,0,403,600,0,1.021667
MOM DOWN POSE0005,833,0,403,600,0,1.021667
MOM DOWN POSE0006,1246,0,403,600,0,1.021667
MOM DOWN POSE0007,1246,0,403,600,0,1.021667
MOM DOWN POSE0008,833,0,403,600,0,1.021667
MOM DOWN POSE0009,833,0,403,600,0,1.021667
MOM DOWN POSE0010,1246,0,403,600,0,1.021667
MOM DOWN POSE0011,1246,0,403,600,0,1.021667
MOM DOWN POSE0012,833,0,403,600,0,1.021667
Mom Idle0000,2072,0,386,826,-0.01036269,1.002421
Mom Idle0001,2072,0,386,826,-0.01036269,1.002421
Mom Idle0002,2468,0,386,815,-0.01036269,1.017178
Mom Idle0003,2468,0,386,815,-0.01036269,1.017178
Mom Idle0004,2864,0,386,822,-0.002590674,1.008516
Mom Idle0005,2864,0,386,822,-0.002590674,1.008516
Mom Idle0006,3260,0,386,824,0,1.006068
Mom Idle0007,3260,0,386,824,0,1.006068
Mom Idle0008,3656,0,386,828,0,1.001208
Mom Idle0009,3656,0,386,828,0,1.001208
Mom Idle0010,0,838,386,829,0,1
Mom Idle0011,0,838,386,829,0,1
Mom Idle0012,396,838,386,829,0,1
Mom Idle0013,396,838,386,829,0,1
Mom Left Pose0000,792,838,602,818,0,1
Mom Left Pose0001,792,838,602,818,0,1
Mom Left Pose0002,1404,838,596,803,-0.01845638,1.01868
Mom Left Pose0003,1404,838,596,803,-0.01845638,1.01868
Mom Left Pose0004,2010,838,596,807,-0.01845638,1.013631
Mom Left Pose0005,2010,838,596,807,-0.01845638,1.013631
Mom Left Pose0006,2616,838,596,807,-0.01845638,1.013631
Mom Left Pose0007,2616,838,596,807,-0.01845638,1.013631
Mom Left Pose0008,2010,838,596,807,-0.01845638,1.013631
Mom Left Pose0009,2010,838,596,807,-0.01845638,1.013631
Mom Pose Left0000,3222,838,578,771,0,1
Mom Pose Left0001,3222,838,578,771,0,1
Mom Pose Left0002,0,1677,564,762,0,1.011811
Mom Pose Left0003,0,1677,564,762,0,1.011811
Mom Pose Left0004,574,1677,564,764,0,1.009162
Mom Pose Left0005,574,1677,564,764,0,1.009162
Mom Pose Left0006,1148,1677,564,764,0,1.009162
Mom Pose Left0007,1148,1677,564,764,0,1.009162
Mom Pose Left0008,574,1677,564,764,0,1.009162
Mom Pose Left0009,574,1677,564,764,0,1.009162
Mom Up Pose0000,1722,1677,392,846,0,1.010638
Mom Up Pose0001,1722,1677,392,846,0,1.010638
Mom Up Pose0002,2124,1677,388,862,-0.01804124,1
Mom Up Pose0003,2124,1677,388,862,-0.01804124,1
Mom Up Pose0004,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0005,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0006,2920,1677,388,861,-0.01804124,1.001161
Mom Up Pose0007,2920,1677,388,861,-0.01804124,1.001161
Mom Up Pose0008,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0009,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0010,2920,1677,388,861,-0.01804124,1.001161
Mom Up Pose0011,2920,1677,388,861,-0.01804124,1.001161
Mom Up Pose0012,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0013,2522,1677,388,861,-0.01804124,1.001161
Mom Up Pose0014,2920,1677,388,861,-0.01804124,1.001161
<EOF>
